"","rowsday","colstore","latin","greek","dollars"
"1","Mon","I","E","alpha","238"
"2","Tues","I","D","delta","149"
"3","Wed","I","B","epsilon","222"
"4","Thurs","I","C","beta","187"
"5","Fri","I","A","gamma","65"
"6","Mon","II","C","delta","228"
"7","Tues","II","B","beta","220"
"8","Wed","II","E","gamma","295"
"9","Thurs","II","A","epsilon","66"
"10","Fri","II","D","alpha","118"
"11","Mon","III","B","gamma","158"
"12","Tues","III","A","alpha","92"
"13","Wed","III","D","beta","104"
"14","Thurs","III","E","delta","242"
"15","Fri","III","C","epsilon","279"
"16","Mon","IV","A","epsilon","188"
"17","Tues","IV","E","gamma","169"
"18","Wed","IV","C","delta","54"
"19","Thurs","IV","D","alpha","122"
"20","Fri","IV","B","beta","278"
"21","Mon","V","E","beta","74"
"22","Tues","V","D","epsilon","282"
"23","Wed","V","B","alpha","213"
"24","Thurs","V","C","gamma","90"
"25","Fri","V","A","delta","176"
